vowel,duration,word,num_syl,syl_in_word,part_of_speech,part_of_word,first,final,nasal
ɩ,0.09973682497633263, ɔcɩ,2,2,N,root,no,yes,not nasal
ɔ,0.0748026187322921, ɔcʋ  ,1,2,N,pref,yes,no,not nasal
ʋ,0.09973682497633263, ɔcʋ,2,2,N,root,no,yes,not nasal
ɔ,0.08523036821190999, ɔcʋ  ,1,2,N,pref,yes,no,not nasal
ʋ,0.1154977059603084, ɔcʋ,2,2,N,root,no,yes,not nasal
ɔ,0.11092941986748883, ɔcʋ  ,1,2,N,pref,yes,no,not nasal
ʋ,0.093087703311312, ɔcʋ,2,2,N,root,no,yes,not nasal
ə,0.07865049006625213, gəbi  ,1,2,N,pref,no,no,not nasal
i,0.08763911750236275, gəbi,2,2,N,root,no,yes,not nasal
ə,0.07190901948916917, gəbi  ,1,2,N,pref,no,no,not nasal
i,0.13707656840114169, gəbi,2,2,N,root,no,yes,not nasal
ə,0.09438058807944572, gəbi  ,1,2,N,pref,no,no,not nasal
i,0.1348294115420572, gəbi,2,2,N,root,no,yes,not nasal
ə,0.05861077615895738, gəki  ,1,2,N,pref,no,no,not nasal
i,0.06033462251656374, gəki,2,2,N,root,no,yes,not nasal
ə,0.04826769801326236, gəki  ,1,2,N,pref,no,no,not nasal
i,0.07929693245034741, gəki,2,2,N,root,no,yes,not nasal
ə,0.05516308344368781, gəki  ,1,2,N,pref,no,no,not nasal
i,0.06378231523177647, gəki,2,2,N,root,no,yes,not nasal
e,0.08274462516556014, gbe  ,1,1,V,root,no,yes,not nasal
e,0.09752045108797347, gbe,1,1,V,root,no,yes,not nasal
e,0.0799433748344427, gbe  ,1,1,V,root,no,yes,not nasal
ɛ,0.11845287114476832, gbɛ  ,1,1,V,root,no,yes,not nasal
ɛ,0.10564715534530933, gbɛ,1,1,V,root,no,yes,not nasal
ɛ,0.13285930141910285, gbɛ  ,1,1,V,root,no,yes,not nasal
ə,0.03684721589399942, gəse  ,1,2,N,pref,no,no,not nasal
e,0.11442030198674047, gəse,2,2,N,root,no,yes,not nasal
ə,0.05430116026491305, gəse  ,1,2,N,pref,no,no,not nasal
e,0.095027030463541, gəse,2,2,N,root,no,yes,not nasal
ə,0.04266519735097063, gəse  ,1,2,N,pref,no,no,not nasal
e,0.12023828344371168, gəse,2,2,N,root,no,yes,not nasal
ə,0.06784566736047282, gəsɛ  ,1,2,N,pref,no,no,not nasal
ɛ,0.14270985203410191, gəsɛ,2,2,N,root,no,yes,not nasal
ə,0.06550616158943967, gəsɛ  ,1,2,N,pref,no,no,not nasal
ɛ,0.11463578278147679, gəsɛ,2,2,N,root,no,yes,not nasal
ə,0.05233105014195871, gəsɛ  ,1,2,N,pref,no,no,not nasal
ɛ,0.11303506830654442, gəsɛ,2,2,N,root,no,yes,not nasal
o,0.05180773964048058, oge  ,1,2,N,pref,yes,no,not nasal
e,0.08163643822138056, oge,2,2,N,root,no,yes,not nasal
o,0.058087465657536086, oge  ,1,2,N,pref,yes,no,not nasal
e,0.07535671220438189, oge,2,2,N,root,no,yes,not nasal
o,0.08006650671711668, oge  ,1,2,N,pref,yes,no,not nasal
e,0.08163643822138056, oge,2,2,N,root,no,yes,not nasal
o,0.09952134418165315, ogo  ,1,2,N,pref,yes,no,not nasal
o,0.09013253812679523, ogo,2,2,N,root,no,yes,not nasal
o,0.09952134418165315, ogo  ,1,2,N,pref,yes,no,not nasal
o,0.10703238902556222, ogo,2,2,N,root,no,yes,not nasal
o,0.10515462781455653, ogo  ,1,2,N,pref,yes,no,not nasal
o,0.11078791144745992, ogo,2,2,N,root,no,yes,not nasal
a,0.07720369044466224, gapɛ  ,1,2,N,pref,no,no,not nasal
ɛ,0.08246757842948682, gapɛ,2,2,N,root,no,yes,not nasal
a,0.0666759144748994, gapɛ  ,1,2,N,pref,no,no,not nasal
ɛ,0.09825924238407424, gapɛ,2,2,N,root,no,yes,not nasal
a,0.054393509176975385, gapɛ  ,1,2,N,pref,no,no,not nasal
ɛ,0.06141202649007482, gapɛ,2,2,N,root,no,yes,not nasal
a,0.05448585808892403, gapa  ,1,2,N,pref,no,no,not nasal
a,0.08172878713344289, gapa,2,2,N,root,no,yes,not nasal
a,0.056302053358535886, gapa  ,1,2,N,pref,no,no,not nasal
a,0.0853611776726666, gapa,2,2,N,root,no,yes,not nasal
a,0.05266966281931218, gapa  ,1,2,N,pref,no,no,not nasal
a,0.07991259186383104, gapa,2,2,N,root,no,yes,not nasal
a,0.10429270463566809, aba  ,1,2,N,pref,yes,no,not nasal
a,0.08533039470194126, aba,2,2,N,root,no,yes,not nasal
a,0.075849239735021, aba  ,1,2,N,pref,yes,no,not nasal
a,0.11614414834434683, aba,2,2,N,root,no,yes,not nasal
a,0.08770068344369975, aba  ,1,2,N,pref,yes,no,not nasal
a,0.11851443708610532, aba,2,2,N,root,no,yes,not nasal
ɔ,0.09388806054869292, ɔba  ,1,2,N,pref,yes,no,not nasal
a,0.11078791144745992, ɔba,2,2,N,root,no,yes,not nasal
ɔ,0.09576582175975545, ɔba  ,1,2,N,pref,yes,no,not nasal
a,0.06759940359518168, ɔba,2,2,N,root,no,yes,not nasal
ɔ,0.09567155967965846, ɔba  ,1,2,N,pref,yes,no,not nasal
a,0.12768776234622692, ɔba,2,2,N,root,no,yes,not nasal
a,0.09201029933774407,ca,1,1,V,root,no,yes,not nasal
a,0.09456528590351354,ca,1,1,V,root,no,yes,not nasal
a,0.09062506565760486,ca,1,1,V,root,no,yes,not nasal
ɔ,0.1454495364239392,cɔ,1,1,V,root,no,yes,not nasal
ɔ,0.11081869441818526,cɔ,1,1,V,root,no,yes,not nasal
ɔ,0.13621464522236693,cɔ,1,1,V,root,no,yes,not nasal
o,0.08422220775776168, loŋɔ  ,1,2,N,root,no,no,nasal
ɔ,0.10416957275310779, loŋɔ,2,2,N,root,no,yes,not nasal
o,0.07978945998104337, loŋɔ  ,1,2,N,root,no,no,nasal
ɔ,0.10195319886474863, loŋɔ,2,2,N,root,no,yes,not nasal
o,0.093087703311312, loŋɔ  ,1,2,N,root,no,no,nasal
ɔ,0.1086023205298261, loŋɔ,2,2,N,root,no,yes,not nasal
ɔ,0.06698374418158437, lɔŋɔ  ,1,2,N,root,no,no,nasal
ɔ,0.06501363405868688, lɔŋɔ,2,2,N,root,no,yes,not nasal
ɔ,0.08077451504254896, lɔŋɔ  ,1,2,N,root,no,no,nasal
ɔ,0.0738791296121235, lɔŋɔ,2,2,N,root,no,yes,not nasal
ɔ,0.0748641846736291, lɔŋɔ  ,1,2,N,root,no,no,nasal
ɔ,0.05910330368965333, lɔŋɔ,2,2,N,root,no,yes,not nasal
o,0.07434034134348622, okụ  ,1,2,N,pref,yes,no,not nasal
ụ,0.0912407250709748, okụ,2,2,N,root,no,yes,not nasal
o,0.14584018467360238, okụ  ,1,2,N,pref,yes,no,not nasal
ụ,0.0976435829707043, okụ,2,2,N,root,no,yes,not nasal
o,0.08661374910116138, okụ  ,1,2,N,pref,yes,no,not nasal
ụ,0.08163643822138056, okụ,2,2,N,root,no,yes,not nasal
ɔ,0.10170693509928697, ɔpa  ,1,2,V,pref,yes,no,not nasal
a,0.07991259186383104, ɔpa,2,2,V,root,no,yes,not nasal
ɔ,0.11751216802269937, ɔpa  ,1,2,V,pref,yes,no,not nasal
a,0.11986888779563287, ɔpa,2,2,V,root,no,yes,not nasal
a,0.08074319924310203, apa  ,1,2,N,pref,yes,no,not nasal
a,0.10155248741727974, apa,2,2,N,root,no,yes,not nasal
a,0.0912407250709748, apa  ,1,2,N,pref,yes,no,not nasal
a,0.09924429744569352, apa,2,2,N,root,no,yes,not nasal
a,0.0976435829707043, apa  ,1,2,N,pref,yes,no,not nasal
ɔ,0.10355391333962416, ɔpa  ,1,2,N,pref,yes,no,not nasal
a,0.07141649195841637, ɔpa,2,2,N,root,no,yes,not nasal
ɔ,0.12140803632917141, ɔpa  ,1,2,N,pref,yes,no,not nasal
a,0.09998308874173745, ɔpa,2,2,N,root,no,yes,not nasal
ɔ,0.122097316934628, ɔpa  ,1,2,N,pref,yes,no,not nasal
a,0.0785581411541898, ɔpa,2,2,N,root,no,yes,not nasal
ɔ,0.05380863273410341, ɔkpa  ,1,2,N,pref,yes,no,not nasal
a,0.10195319886463494, ɔkpa,2,2,N,root,no,yes,not nasal
ɔ,0.06513676594136086, ɔkpa  ,1,2,N,pref,yes,no,not nasal
a,0.06230473263951808, ɔkpa,2,2,N,root,no,yes,not nasal
ɔ,0.0943554348014004, ɔkpa  ,1,2,N,pref,yes,no,not nasal
a,0.08370062487210817, ɔkpa,2,2,N,root,no,yes,not nasal
i,0.07889910917691623,ipu  ,1,2,N,pref,yes,no,not nasal
u,0.0762802013245043, ipu,2,2,N,root,no,yes,not nasal
i,0.09826923897824003, ipu  ,1,2,N,pref,yes,no,not nasal
u,0.08717737294228911, ipu,2,2,N,root,no,yes,not nasal
i,0.10521011466414265, ipu  ,1,2,N,pref,yes,no,not nasal
u,0.08172878713339671, ipu,2,2,N,root,no,yes,not nasal
i,0.08815186225165661, ibu  ,1,2,N,pref,yes,no,not nasal
u,0.07692664370861024, ibu,2,2,N,root,no,yes,not nasal
i,0.09216010898769866, ibu  ,1,2,N,pref,yes,no,not nasal
u,0.0964122641438081, ibu,2,2,N,root,no,yes,not nasal
i,0.10139910539262331, ibu  ,1,2,N,pref,yes,no,not nasal
u,0.10306138580889268, ibu,2,2,N,root,no,yes,not nasal
i,0.13508298959318665, ibumi  ,1,3,V,pref,yes,no,not nasal
u,0.0906558486281952, ibumi,2,3,V,root,no,no,nasal
i,0.07310955534531871, ibumi  ,3,3,V,root,no,yes,not nasal
i,0.16713754399243186, ibumi,1,3,V,pref,yes,no,not nasal
u,0.13744596404919918, ibumi  ,2,3,V,root,no,no,nasal
i,0.0906558486281881, ibumi,3,3,V,root,no,yes,not nasal
i,0.19395886017029085, npa  ,1,1,N,root,no,yes,not nasal
u,0.13378279053925723, npa,1,1,N,root,no,yes,not nasal
i,0.08810086206244705, npa  ,1,1,N,root,no,yes,not nasal
a,0.16087180473036966, npa,1,1,N,root,no,yes,not nasal
a,0.11756016499526822, nkpa  ,1,1,V,root,no,yes,not nasal
a,0.08868573850520534, nkpa,1,1,V,root,no,yes,not nasal
a,0.11756016499526822, nkpa  ,1,1,V,root,no,yes,not nasal
a,0.13818475534532126, nkpa,1,1,V,root,no,yes,not nasal
u,0.05556593884610095, pul  ,1,1,V,root,no,no,not nasal
u,0.0627972601702993, pul,1,1,V,root,no,no,not nasal
u,0.05538107623092969, pul  ,1,1,V,root,no,no,not nasal
o,0.049983394512779, fol  ,1,1,V,root,no,no,not nasal
o,0.07535671220435347, fol,1,1,V,root,no,no,not nasal
o,0.05186735830584155, fol  ,1,1,V,root,no,no,not nasal
ɔ,0.05045274441013703, pul  ,1,1,V,root,no,no,not nasal
ʋ,0.05638734053476924, fʋl  ,1,1,V,root,no,no,not nasal
ʋ,0.061399548582329544, fʋl,1,1,V,root,no,no,not nasal
a,0.06609345998106164, apu  ,1,2,N,pref,yes,no,not nasal
u,0.10666299337748342, apu,2,2,N,root,no,yes,not nasal
a,0.0965046130558278, apu  ,1,2,N,pref,yes,no,not nasal
u,0.06602947209080412, apu,2,2,N,root,no,yes,not nasal
a,0.0785581411541898, apu  ,1,2,N,pref,yes,no,not nasal
u,0.08803929612108163, apu,2,2,N,root,no,yes,not nasal
a,0.05057642081362701, afʋ  ,1,2,N,pref,yes,no,not nasal
ʋ,0.0897323595080195, afʋ,2,2,N,root,no,yes,not nasal
a,0.09569369006621287, afʋ  ,1,2,N,pref,yes,no,not nasal
u,0.07385916000401949, afʋ,2,2,N,root,no,yes,not nasal
i,0.09092453358559283, ifu  ,1,2,N,pref,yes,no,not nasal
u,0.09653059329741609, ifu,2,2,N,root,no,yes,not nasal
i,0.09426897256386724, ifu  ,1,2,N,pref,yes,no,not nasal
u,0.11550312923733941, ifu,2,2,N,root,no,yes,not nasal
i,0.10362378702276942, ifu  ,1,2,N,pref,yes,no,not nasal
u,0.12605626490065447, ifu,2,2,N,root,no,yes,not nasal
o,0.09073168441358348, ofu  ,1,2,N,pref,yes,no,not nasal
u,0.07761273217039388, ofu,2,2,N,root,no,yes,not nasal
o,0.09844275898080923, ofu  ,1,2,N,pref,yes,no,not nasal
u,0.08621391985101923, ofu,2,2,N,root,no,yes,not nasal
o,0.114283262062429, ofu  ,1,2,N,pref,yes,no,not nasal
u,0.09404197540206383, ofu,2,2,N,root,no,yes,not nasal
a,0.06627433112581116, apʋ  ,1,2,N,pref,yes,no,not nasal
ʋ,0.09363137029330915, apʋ,2,2,N,root,no,yes,not nasal
a,0.08427343803217013, apʋ  ,1,2,N,pref,yes,no,not nasal
ʋ,0.09752045108797347, apʋ,2,2,N,root,no,yes,not nasal
a,0.0903386338694645, apʋ  ,1,2,N,pref,yes,no,not nasal
ʋ,0.10204554777669728, apʋ,2,2,N,root,no,yes,not nasal
a,0.10109553831594553, mal  ,1,1,V,root,no,no,not nasal
a,0.07003125827813506, mal,1,1,V,root,no,no,not nasal
a,0.10804822705770789, mal  ,1,1,V,root,no,no,not nasal
aa,0.20152498013243303, baa  ,1,1,V,root,no,yes,not nasal
aa,0.20868888703881794, baa,1,1,V,root,no,yes,not nasal
aa,0.23216805298011423, baa  ,1,1,V,root,no,yes,not nasal
